answer,feedback
aback,YNNMN
aback,NMNNN
aback,MNNNN
aback,NNNNM
aback,NNNNN
aback,NMMNN
aback,YNNNN
aback,NNNMN
aback,NMNMN
aback,MMNMN
aback,MNYNN
aback,MNNMN
aback,NNYNN
aback,YNYNN
aback,YMNNN
aback,NNNYN
aback,MNNYN
aback,MMNNN
aback,NNYMN
aback,NMNNM
aback,NNYYY
aback,NNNMM
aback,NNYNM
aback,MNNNM
aback,NYNNN
aback,NNMNN
aback,NNMMN
aback,YNNNM
aback,NNNYY
aback,NMYNN
aback,NNNMY
aback,MNYYN
aback,YYNNN
aback,NNYNY
aback,YNYMN
aback,MNMNN
aback,NNNNY
aback,YNMNN
aback,NNMNM
aback,MMNNM
aback,NMMMN
aback,NMMNM
aback,MMMNM
aback,NMNYN
aback,MNNNY
aback,YNNYN
aback,YYYNN
aback,YYYYN
aback,NYNMN
aback,NNYYN
aback,MMNYN
aback,MMMNN
aback,NMNMM
aback,NMMMM
aback,NYNNM
aback,NMNYM
aback,MNMNM
aback,YNNMM
aback,NMNYY
aback,MNMMN
aback,NMNMY
aback,MNYNY
aback,NNYMM
aback,NNNYM
aback,MNNMY
aback,NMNNY
aback,YYNMN
aback,YYMNN
aback,YYYNY
aback,NNMNY
aback,MNYNM
aback,YMNNM
aback,MMYNN
aback,MMNYM
aback,YNNNY
aback,NNMMM
aback,YYYMN
aback,MNNMM
aback,YNNMY
aback,MNYMN
aback,YMMNN
aback,YNNYY
aback,YMYNN
aback,MNNYY
aback,NMYYN
aback,MMMMN
aback,YNYYY
aback,MMNMM
aback,NNYMY
aback,YYNNM
aback,NMYMN
aback,YNYYN
aback,NYNNY
aback,YMNMN
aback,MNNYM
aback,MMNNY
aback,NMYNM
aback,YNMMN
aback,YNMNM
aback,MYYNN
aback,NMMNY
aback,MNYYY
aback,MMNMY
aback,NNMYN
aback,YNNYM
aback,NYYNN
abase,YNNMM
abase,NMNMN
abase,NMNNN
abase,NNNNN
abase,NNNNM
abase,NNNMM
abase,NMMNY
abase,YNMNM
abase,NMMMN
abase,MNNNN
abase,MMNNN
abase,NNNMN
abase,NMNMM
abase,NMNMY
abase,NMMNN
abase,NNNNY
abase,MNNNY
abase,MMNNM
abase,NNMNN
abase,NNYNM
abase,MNNMN
abase,MNNNM
abase,NNYNN
abase,YNYNM
abase,NNNYN
abase,YNNNY
abase,YNMNN
abase,NNMNM
abase,NMNNM
abase,MNYNN
abase,MNMNM
abase,NNNYM
abase,NMNNY
abase,NNNYY
abase,MYNNN
abase,MNMNN
abase,NMYNM
abase,MNMMN
abase,YNNNM
abase,NNMMN
abase,YMNMN
abase,YNNMN
abase,MNYNM
abase,MMNMM
abase,NNYNY
abase,YNYNN
abase,NNNMY
abase,MNYNY
abase,YNNNN
abase,NNYYY
abase,MMNNY
abase,NNYMM
abase,NMMNM
abase,NMNYM
abase,NNMYN
abase,MMYNN
abase,YYNNN
abase,NNYYN
abase,YNNMY
abase,YNYNY
abase,MNNYY
abase,MNYMN
abase,YMNNN
abase,NYMNN
abase,MMNYM
abase,MNNYN
abase,MMNMN
abase,NMYYN
abase,MMMNN
abase,NMNYN
abase,NYNNN
abase,NMYNN
abase,NMNYY
abase,YYYYN
abase,YYYNM
abase,NYNMM
abase,YNMMN
abase,NNMMY
abase,NYMNM
abase,NNMMM
abase,YNMNY
abase,MNNMM
